timestamp,comment-id,author-id,agrees,disagrees,moderated,comment-body
1477762554686,36,25,7,0,1,Professores precisam ter tempo remunerado para prepararem as aulas!!
1477615690587,35,19,8,7,1,"Todo Aluno (a) deve ser avaliado e cursar o ensino médio com grupos de potencialidades similares em relação a humanas, exatas e biológicas."
1477596681180,34,15,11,10,1,"Aulas como economia doméstica, empreendedorismo deveriam ser incorporadas ao ensino médio"
1477517529379,33,0,0,33,1,O governo federal deve colocar limites no financiamento das escolas com ensino médio
1477517509035,32,0,29,4,1,O governo federal deve financiar as escolas com ensino médio por tempo indeterminado
1477517385651,31,0,33,2,1,Deveria ser instituído passe livre nacional para todos os estudantes
1477516585760,30,0,31,3,1,O professor como educador pode discutir questões políticas contemporâneas em sala de aula
1477516560384,29,0,37,1,1,Professores são educadores e portanto devem poder discutir com os alunos os valores e sua realidade
1477516050456,28,0,36,1,1,O professor deve ser livre para expressar seus pensamentos pois isso garante o pluralismo de ideias
1477516023902,27,0,2,31,1,Limitar o professor a transmitir apenas conhecimento e experiência cientifica na sala de aula
1477515504142,26,0,10,23,1,Proibir o professor a incitar os alunos para participar de manifestações
1477515355635,25,0,6,28,1,Proibir o professor de aproveitar a audiência dos alunos pra expressar suas posições ideológicas
1477505755901,24,0,37,2,1,Português deve ser disciplina obrigatória no Ensino Médio
1477505739533,23,0,34,1,1,Matemática deve ser disciplina obrigatória no Ensino Médio
1477505730632,22,0,33,3,1,História deve ser disciplina obrigatória no Ensino Médio
1477505720449,21,0,30,6,1,Geografia deve ser disciplina obrigatória no Ensino Médio
1477505710591,20,0,27,6,1,Biologia deve ser disciplina obrigatória no Ensino Médio
1477505703761,19,0,29,5,1,Física deve ser disciplina obrigatória no Ensino Médio
1477505683147,18,0,25,5,1,Química deve ser disciplina obrigatória no Ensino Médio
1477505675403,17,0,28,5,1,Sociologia deve ser disciplina obrigatória no Ensino Médio
1477505663793,16,0,28,6,1,Filosofia deve ser disciplina obrigatória no Ensino Médio
1477505651054,15,0,29,5,1,Educação Física deve ser disciplina obrigatória no Ensino Médio
1477505641727,14,0,21,10,1,Educação Artística deve ser disciplina obrigatória no Ensino Médio
1477505633038,13,0,22,9,1,Inglês deve ser disciplina obrigatória no Ensino Médio
1477505622602,12,0,16,16,1,Espanhol deve ser disciplina obrigatória no Ensino Médio
1477505614169,11,0,25,12,1,Constituição Federal deve ser disciplina obrigatória no Ensino Médio
1477505602716,10,0,16,17,1,Programação de computadores deve ser disciplina obrigatória no Ensino Médio
1477505591505,9,0,21,11,1,Educação Ambiental deve ser disciplina obrigatória no Ensino Médio
1477505577187,8,0,6,24,1,Ensino sobre religiões deve ser disciplina obrigatória no Ensino Médio
1477505562034,7,0,5,28,1,Educação moral e cívica deve ser disciplina obrigatória no Ensino Médio
1477505551922,6,0,25,7,1,História da África deve ser disciplina obrigatória no Ensino Médio
1477505542340,5,0,8,21,1,Todo/toda estudante de Ensino Médio deve estudar em período integral
1477505532156,4,0,28,9,1,Todo/toda estudante de Ensino Médio deve escolher entre estudar meio período e período integra
1477505521588,3,0,28,5,1,Todo professor/professora do Ensino Médio deve ter concluído o Ensino Superior
1477505507605,2,0,13,19,1,Pessoas com notório saber devem poder dar aula no Ensino Médio
1477505497921,1,0,21,16,1,Disciplinas cursadas durante o Ensino Médio poderiam valer como crédito ao cursar o Ensino Superior
1477505490184,0,0,1,34,1,Sou a favor da Reforma do Ensino Médio proposta pelo Governo Temer
